,(Intercept),TimeC,TimeE,Fw_dist_km,TimeC:Fw_dist_km,TimeE:Fw_dist_km
269,7.57E-16,-3.67E-16,0.41077975,7.72E-18,-6.39E-18,0.000372556
35,-0.213230599,0.213230599,0.213230599,-0.000193389,0.000193389,0.000193389
264,3.78E-16,-3.06E-17,0.18318092,-1.18E-17,8.67E-18,0.000166135
33,-0.162653081,0.162653081,0.162653081,-0.000147518,0.000147518,0.000147518
34,-0.150008702,0.150008702,0.150008702,-0.00013605,0.00013605,0.00013605
41,-0.150008702,0.150008702,0.150008702,-0.00013605,0.00013605,0.00013605
44,-0.150008702,0.150008702,0.150008702,-0.00013605,0.00013605,0.00013605
46,-0.010920529,0.010920529,0.010920529,-9.90E-06,9.90E-06,9.90E-06
154,-1.85E-15,12.40164493,-1.08E-14,-7.65E-16,0.066328415,9.02E-16
95,2.68E-14,8.13671596,-8.69E-15,-2.02E-15,-0.799213398,6.13E-16
149,1.15E-15,5.144284043,-5.15E-15,-3.78E-16,0.027513464,4.22E-16
82,-4.62E-16,4.627808157,-3.99E-15,-4.96E-16,-0.454557625,3.75E-16
85,4.52E-14,-15.24707421,-5.30E-15,-2.74E-15,1.497614768,2.91E-16
94,1.43E-14,-12.43459085,-3.57E-15,-1.03E-15,1.221363958,2.84E-16
91,-8.54E-15,-5.65784525,-2.12E-15,-3.42E-17,0.555731053,2.71E-16
